00000;IC-A-01;[empty]
00001;IC-A-02;You are in the danger zone, leave the area immediately. Listen to radio or media for directions and information.
00010;IC-A-03;You are in the danger zone, leave the area immediately and reach the evacuation point indicated by the area plotted in yellow. Listen to radio or media for directions and information.
00011;IC-A-04;Seek shelter in a building immediately. Stay under cover and stay informed.
00100;IC-A-05;Seek out a cellar or interior rooms on lower floors.
00101;IC-A-06;If you are in an alpine terrain, start descending immediately and seek for shelter.
00110;IC-A-07;Quickly move into interior rooms. If you are in a vehicle: Stop driving immediately on the edge of the road. If a building is nearby, seek shelter in that building.
00111;IC-A-08;If you are in open terrain and you cannot find shelter, lie face-down on the ground and protect your head and neck with your hands, in a hollow where possible
01000;IC-A-09;Prepare for evacuation. Take only the essentials with you, especially ID cards, passport, credit cards and cash. Evacuate only after the instruction of the emergency authorities.
01001;IC-A-10;Prepare emergency food and relief material: Check and restock your equipment and supplies of water, food, medicine, cash and batteries.
01010;IC-A-11;Stay away from glass surfaces such as windows and glass doors. There is a risk of injury from glass splinters.
01011;IC-A-12;Reduce your power consumption to a minimum.
01100;IC-A-13;Reduce your water consumption to a minimum.
01101;IC-A-14;Boil water before drinking it or using it in the kitchen.
01110;IC-A-15;Keep at least one metre away from any conversation partners. Avoid physical contact with other people such as kissing and shaking hands. Wash your hands regularly and thoroughly.
01111;IC-A-16;Do not drink any tap water. Avoid any skin contact with tap water. Only drink mineral water from a bottle. Turn off the water supply to your house.
10000;IC-A-17;Watch out for escaping gas. This can be indicated by hissing noises or a typical gas odour. Do not use matches, lighters or the like: naked flames in combination with leaking gas can lead to explosions and fires.
10001;IC-A-18;Do not go outside and do not use your car.
10010;IC-A-19;Do not touch any objects that seem suspicious to you. Debris can cause additional hazards such as fires and explosions. Inform the emergency services about damage and debris.
10011;IC-A-20;Do not enter smoke-filled rooms. Deadly gases can form there.
10100;IC-A-21;Do not enter cellars or underground car parks.
10101;IC-A-22;Do not leave pets or livestock outside.
10110;IC-A-23;Do not touch any dead animals. Report any findings of dead wild animals to the authorities.
10111;IC-A-24;Avoid driving
11000;IC-A-25;Avoid all items with metal parts such as umbrellas and bicycles. Do not bathe or shower during a thunderstorm. Bathing and showering can be life-threatening.
11001;IC-A-26;Avoid rooms directly underneath the roof truss. Avoid very large rooms, such as halls, in which the ceiling is not supported by pillars.
11010;IC-A-27;Avoid going outdoors. Keep away from trees, towers and masts. Keep at least 20;m away from power lines. Watch out for flying objects and falling objects.
11011;IC-A-28;Avoid the danger area
11100;IC-A-29;Avoid going out when it is not necessary
11101;IC-A-30;This is only a test. You do not have to take any action or to adopt any particular sheltering behaviour
11110;IC-A-31;This replaces the warning previously in effect for this area.
11111;IC-A-32;Conditions have improved and are no longer expected to meet alert criteria
