0000;Explosifs  
0001;Gaz inflammables  
0010;Aérosols inflammables et aérosols  
0011;Gaz comburants  
0100;Gaz sous pression  
0101;Liquides inflammables  
0110;Solides inflammables  
0111;Substance/mélange auto-réactif  
1000;Liquides pyrophoriques. Les matériaux pyrophoriques sont souvent réactifs à l'eau et s'enflamment au contact de l'eau ou de l'air humide.  
1001;Solides pyrophoriques. Les matériaux pyrophoriques sont souvent réactifs à l'eau et s'enflamment au contact de l'eau ou de l'air humide.  
1010;Substance/mélange auto-échauffant  
1011;Réactif à l'eau - émet des gaz inflammables  
1100;Liquides comburants  
1101;Solides comburants  
1110;Peroxydes organiques  
1111;Corrosif pour les métaux

