0000001;CBRNE;Air strike;Attack performed by an aircraft, usually of military type, either by bombing (or similar), firing guns or missiles.
0000010;CBRNE;Attack on IT systems;Intentional attempt to expose, alter, disable, destroy, steal or gain unauthorized access to or make unauthorised use of IT equipment.
0000011;CBRNE;Attack with nuclear weapons;From www.dhs.gov 'Attack performed with a device producing a nuclear explosion.
0000100;CBRNE;Biological hazard;Presence of hazardous biological materials that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0000101;CBRNE;Chemical hazard;Presence of hazardous chemical materials that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0000110;CBRNE;Explosive hazard;Presence of hazardous explosive materials that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0000111;CBRNE;Meteorite impact;Meteorite entering from space into the earth atmosphere.
0001000;CBRNE;Missile attack;Missile launch.
0001001;CBRNE;Nuclear hazard;Presence of hazardous nuclear materials that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0001010;CBRNE;Nuclear power station accident;Accident occurring at an installation where power is generated by a nuclear reactor.
0001011;CBRNE;Radiological hazard;Presence of hazardous radioactive materials that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0001100;CBRNE;Satellite/space re-entry debris;Satellite or parts of a satellite or launcher or space vehicle entering or re-entering from space into the earth atmosphere.
0001101;CBRNE;Siren test;Test of a warning device emitting a loud noise.
0001110;ENVIRONMENT;Acid rain;Rain containing dissolved acidifying compounds, resulting from chemical pollution of the atmosphere by sulphur and nitrogen compounds. When deposited, these increase the acidity of the soil and water causing agricultural and ecological damage.
0001111;ENVIRONMENT;Air pollution;Precise threshold is according to each local standard.
0010000;ENVIRONMENT;Contaminated drinking water;Drinking water containing contaminants (germs and/or chemicals) above the quality standard. Precise threshold according to each local standard.
0010001;ENVIRONMENT;Gas leak;Uncontrolled release of natural gas or gaseous product in the environment.
0010010;ENVIRONMENT;Marine pollution;Marine pollution occurs when substances used or spread by humans, such as industrial, agricultural and residential waste, particles, noise, excess carbon dioxide or invasive organisms enter the ocean and cause harmful effects there. Precise threshold is according to each local standard.
